"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andaman & Nicobar","Nicobars","2022-09-01","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-02","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-03","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-04","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-07","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-05","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-06","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-09","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-08","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-10","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-11","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-13","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-12","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-15","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-14","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-16","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-17","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-18","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-19","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-20","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-21","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-23","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-24","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-22","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-25","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-26","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2022-09-27","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-01","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-02","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-03","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-04","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-07","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-05","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-06","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-09","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-08","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-10","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-11","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-13","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-12","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-15","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-14","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-16","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-17","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-18","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-19","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-20","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-21","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-23","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-24","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-22","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-25","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-26","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-09-27","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-01","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-02","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-03","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-04","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-07","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-05","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-06","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-09","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-08","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-10","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-11","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-13","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-12","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-15","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-14","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-16","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-17","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-18","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-19","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-20","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-21","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-23","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-24","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-22","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-25","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-26","2022","09","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2022-09-27","2022","09","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-01","2022","09","27.784485525","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-02","2022","09","27.4089419616","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-03","2022","09","26.0602813256","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-04","2022","09","25.3793473279","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-06","2022","09","30.4452674604","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-07","2022","09","30.5477230406","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-05","2022","09","28.7213884654","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-08","2022","09","31.0363117826","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-09","2022","09","30.2225073616","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-10","2022","09","29.4756856751","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-11","2022","09","28.830123778","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-12","2022","09","27.3824430137","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-15","2022","09","24.4134810355","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-13","2022","09","26.1027771689","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-14","2022","09","25.2488473725","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-16","2022","09","23.8455089666","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-17","2022","09","23.0654890555","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-18","2022","09","22.349244751","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-19","2022","09","21.7555698049","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-21","2022","09","20.7375346654","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-20","2022","09","21.2233278954","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-23","2022","09","19.7968730055","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-24","2022","09","19.3886779656","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-22","2022","09","20.2506094775","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-25","2022","09","18.9785854413","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-26","2022","09","18.7556581904","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2022-09-27","2022","09","19.5002618787","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-01","2022","09","29.1743200675","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-02","2022","09","29.8790731954","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-03","2022","09","28.1535302503","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-04","2022","09","26.8897658787","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-06","2022","09","28.2889000808","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-07","2022","09","30.70649673","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-05","2022","09","27.0671583774","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-08","2022","09","31.5335893104","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-09","2022","09","31.3972148123","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-10","2022","09","31.1739416648","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-11","2022","09","29.7910913212","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-12","2022","09","28.3129647607","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-15","2022","09","27.2039352561","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-13","2022","09","26.9970235536","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-14","2022","09","25.9779849255","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-16","2022","09","26.160973722","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-17","2022","09","25.6948550626","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-18","2022","09","25.1212945792","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-19","2022","09","24.3190375146","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-21","2022","09","22.8979162808","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-20","2022","09","23.5775088671","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-23","2022","09","21.5892597776","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-24","2022","09","21.0105767301","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-22","2022","09","22.2100748655","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-25","2022","09","20.4620328168","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-26","2022","09","20.1101240141","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2022-09-27","2022","09","20.8838688124","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-01","2022","09","27.1490188546","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-02","2022","09","26.1141198751","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-03","2022","09","25.3761828201","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-04","2022","09","26.0968893217","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-06","2022","09","25.943329135","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-07","2022","09","26.8622471361","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-05","2022","09","26.2084687238","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-08","2022","09","31.8290359601","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-09","2022","09","31.539906526","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-10","2022","09","33.2766402216","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-11","2022","09","33.9881498704","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-12","2022","09","32.7895026356","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-15","2022","09","30.2031775381","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-13","2022","09","31.7558989194","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-14","2022","09","30.7694926698","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-16","2022","09","29.0190069403","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-17","2022","09","27.6009198793","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-18","2022","09","26.5218412179","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-19","2022","09","30.2060972193","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-21","2022","09","29.7715328557","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-20","2022","09","31.001467024","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-23","2022","09","28.74157685","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-24","2022","09","28.7238485327","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-22","2022","09","28.9893459425","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-25","2022","09","27.5564973763","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-26","2022","09","26.951484442","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2022-09-27","2022","09","28.7419680717","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-01","2022","09","25.3173605532","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-02","2022","09","26.9457753166","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-03","2022","09","27.000959985","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-04","2022","09","25.9560922306","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-06","2022","09","27.5350298803","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-07","2022","09","27.2736011533","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-05","2022","09","27.2391562409","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-08","2022","09","29.5885290557","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-09","2022","09","32.5639731325","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-10","2022","09","32.8993039997","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-11","2022","09","34.4559287241","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-12","2022","09","32.1313716659","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-15","2022","09","28.6154729444","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-13","2022","09","30.4831049413","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-14","2022","09","29.284137229","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-16","2022","09","27.4792164803","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-17","2022","09","26.4689601772","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-18","2022","09","25.5647586452","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-19","2022","09","26.2953470198","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-21","2022","09","26.8475650082","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-20","2022","09","27.8319879677","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-23","2022","09","25.5950534939","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-24","2022","09","24.922027637","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-22","2022","09","26.2196165869","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-25","2022","09","24.0511860057","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-26","2022","09","23.3412888499","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2022-09-27","2022","09","25.2012630178","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-01","2022","09","21.116747602","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-02","2022","09","21.1741625437","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-03","2022","09","21.1844746939","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-04","2022","09","20.4857181986","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-06","2022","09","20.5721343677","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-07","2022","09","20.1742695208","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-05","2022","09","21.1014054806","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-08","2022","09","25.2375223799","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-09","2022","09","26.709819387","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-10","2022","09","28.2874630737","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-11","2022","09","29.8572076301","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-12","2022","09","27.7382972534","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-15","2022","09","24.7369647845","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-13","2022","09","26.4629447758","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-14","2022","09","25.458364232","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-16","2022","09","23.7845507533","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-17","2022","09","22.9670574917","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-18","2022","09","22.2049972657","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-19","2022","09","24.6108490769","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-21","2022","09","25.2035233934","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-20","2022","09","26.8629215068","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-23","2022","09","24.0285077506","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-24","2022","09","23.0861242345","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-22","2022","09","24.4954290076","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-25","2022","09","22.2208204507","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-26","2022","09","21.5872080518","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-09-27","2022","09","25.479952314","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-01","2022","09","29.7365542081","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-02","2022","09","31.8075642317","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-03","2022","09","30.513612544","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-04","2022","09","29.5795386062","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-06","2022","09","34.1457879134","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-07","2022","09","32.8042833733","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-05","2022","09","34.0215195837","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-08","2022","09","35.5880799867","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-09","2022","09","34.838880898","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-10","2022","09","33.6506932052","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-11","2022","09","34.9706569408","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-12","2022","09","33.19471611","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-15","2022","09","29.9839159145","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-13","2022","09","31.9006521364","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-14","2022","09","30.8917682097","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-16","2022","09","29.1402697473","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-17","2022","09","28.2842725033","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-18","2022","09","27.482320451","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-19","2022","09","26.845795618","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-21","2022","09","25.7825177032","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-20","2022","09","26.4031409735","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-23","2022","09","24.6726055359","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-24","2022","09","24.0888260578","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-22","2022","09","25.2331452159","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-25","2022","09","23.5832257227","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-26","2022","09","24.5124858711","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-09-27","2022","09","25.3062277986","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-01","2022","09","25.8520323154","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-02","2022","09","28.3580755963","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-03","2022","09","27.4181887949","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-04","2022","09","26.3188404965","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-09-06","2022","09","28.6790055194","NRSC VIC MODEL"
